C1,C2,C3,C4,C5,C6,C7,C8,Marker
3,-7,1,0,1,1,15,25,NAN
-8,-5,-13,-2,0,-2,-1,-9,NAN
-5,-11,9,-2,-2,-6,-19,-15,NAN
1,20,5,-1,-2,-2,0,3,NAN
13,21,-1,0,-1,-3,-12,-12,NAN
9,4,-3,-1,1,1,0,-3,NAN
-8,-5,-4,-1,-1,1,-3,2,NAN
-17,-9,-4,-1,-6,-10,-6,0,NAN
-5,-11,-2,1,-1,1,-4,-10,NAN
4,2,-4,0,-1,-2,-2,-2,NAN
6,15,2,-1,0,6,29,43,NAN
6,9,0,2,3,3,-10,-15,NAN
-6,-14,3,0,-1,4,19,18,NAN
-12,-30,-4,2,-2,-3,-2,-12,NAN
-22,-9,-1,0,0,-4,-13,-6,NAN
32,13,4,-2,-1,3,6,10,NAN
14,3,2,1,2,4,13,11,NAN
-11,-7,-7,-2,-3,-2,-8,-7,NAN
-1,-4,-4,-2,-3,-4,-5,-9,NAN
-17,-19,-2,-2,-1,0,-1,3,NAN
-9,-10,-4,-1,-2,-6,-14,-20,NAN
3,9,-5,-3,-1,0,5,5,NAN
-23,-29,2,-16,-1,-1,-11,-13,NAN
34,48,1,16,1,-1,13,6,NAN
19,7,2,-2,0,-4,-6,1,NAN
-9,-2,-1,2,-2,-1,7,8,NAN
2,1,-3,-5,1,-1,-5,-3,NAN
-28,-25,1,-6,-1,2,5,9,NAN
-5,-5,-13,1,-3,-2,-7,-9,NAN
0,1,1,-4,-1,-1,3,-2,NAN
4,11,-1,4,-2,-3,-11,-12,NAN
6,-8,2,-3,-1,-4,0,3,NAN
-11,-4,-1,3,-1,1,8,17,NAN
-8,1,6,-5,-3,-7,-19,-35,NAN
13,-1,-13,3,0,5,20,32,NAN
-2,-23,-13,2,3,9,40,46,NAN
-4,6,-11,-8,-4,-6,-16,-19,NAN
-23,4,4,3,2,0,-7,-3,NAN
28,8,2,0,-4,-5,-7,-10,NAN
13,-2,-3,-6,-3,-6,-16,-14,NAN
-14,-10,3,-2,1,4,21,24,NAN
0,-4,-5,-2,-1,-1,4,11,NAN
-1,8,-2,4,0,0,5,0,NAN
-14,-3,5,-6,-2,-1,-12,-12,NAN
2,-1,3,1,-2,-5,-8,-13,NAN
