C1,C2,C3,C4,C5,C6,C7,C8,Marker
-4,-4,-10,1,-2,-1,-1,-2,NAN
-2,1,7,-2,0,-3,-4,-1,NAN
0,1,0,-2,-2,3,-3,-1,NAN
0,0,2,2,-2,1,0,3,NAN
0,0,-2,1,0,-4,-3,-3,NAN
2,1,-4,-3,0,1,-1,-3,NAN
-3,-2,-3,-1,-3,-1,-2,-1,NAN
-2,-1,-1,1,1,-1,0,-3,NAN
1,0,-2,-2,-5,-6,0,-2,NAN
1,-5,-4,-6,-4,-4,-1,-3,NAN
-2,0,3,1,2,5,1,-2,NAN
-4,-1,-9,3,-2,-4,-2,-1,NAN
-3,-1,8,2,3,-2,0,1,NAN
4,-1,3,12,4,3,3,1,NAN
-3,-2,4,2,-4,-3,-2,-2,NAN
-1,-1,-4,-2,6,3,-1,1,NAN
0,-3,-7,-4,-15,-4,-3,-1,NAN
-5,-1,-8,-21,-11,-4,-1,-1,NAN
-2,1,4,12,3,3,1,-1,NAN
0,4,3,-3,4,9,2,1,NAN
-3,-7,-2,10,7,-6,-2,1,NAN
-3,3,5,4,-1,-7,-5,-4,NAN
2,1,-6,-5,0,-1,0,0,NAN
-2,-3,7,-1,-2,-4,-1,-2,NAN
3,0,-9,-3,0,4,0,-1,NAN
0,-3,0,-3,0,3,0,0,NAN
-3,0,4,0,7,0,-1,-2,NAN
-3,-3,5,8,-4,-4,-1,0,NAN
0,-1,1,-17,-2,1,-1,2,NAN
-1,-1,-16,-5,3,-4,-3,-2,NAN
-2,-5,-6,-24,-15,-2,-2,-2,NAN
-2,-5,-2,2,0,-1,1,1,NAN
-7,2,4,1,1,-1,0,-3,NAN
6,-4,9,18,7,-1,-2,-4,NAN
0,1,-7,-15,-5,-4,-5,-1,NAN
0,1,2,3,1,-2,-2,-1,NAN
-2,-2,-7,2,-2,1,-1,-4,NAN
-4,0,2,2,4,4,2,0,NAN
2,3,0,-7,-7,2,-1,-2,NAN
0,1,-3,-21,-9,-18,-4,1,NAN
-5,0,3,11,7,1,1,-1,NAN
-3,1,4,1,-5,10,2,1,NAN
-2,-3,-1,-3,-9,-17,-2,-1,NAN
-3,-4,-7,0,4,2,0,-3,NAN
3,-3,-1,5,2,4,-2,-1,NAN
-1,-4,-1,15,2,2,0,-2,NAN
2,3,8,29,6,13,4,3,NAN
-2,-2,-16,-44,-7,-19,-4,-3,NAN
-3,-2,3,12,6,4,-3,-4,NAN
-4,-2,-4,-14,-12,-5,-6,-3,NAN
-1,-2,2,18,3,2,-1,1,NAN
-1,-4,3,18,1,4,1,1,NAN
-1,0,1,-27,-5,-2,-3,-3,NAN
7,2,3,0,2,21,5,2,NAN
0,-1,2,7,17,30,5,2,NAN
-2,-1,-7,-7,-6,-59,-7,-3,NAN
-5,-3,-1,4,-17,-21,-8,-5,NAN
-5,-4,-5,-12,-5,-7,-4,0,NAN
-1,-1,-4,-8,-4,15,3,1,NAN
0,-3,-4,10,-7,1,0,-4,NAN
3,4,-1,0,6,17,3,1,NAN
-4,-2,1,7,2,-25,-1,-3,NAN
-2,-4,-16,-8,0,3,1,-4,NAN
-3,2,12,-5,3,17,1,-2,NAN
-1,-3,-6,1,-1,-5,1,-2,NAN
3,2,-4,-2,1,12,-1,-2,NAN
0,-2,6,5,1,-17,-5,-1,NAN
1,0,1,11,-1,9,2,3,NAN
0,-5,-3,1,-3,0,-1,-1,NAN
-1,1,0,1,2,1,0,-1,NAN
-2,-1,-10,-16,-4,-19,-5,-4,NAN
-2,1,6,-3,-6,10,-4,-1,NAN
-2,3,10,13,4,5,3,0,NAN
11,-2,-15,-44,-8,13,3,3,NAN
3,-2,-8,-37,-6,-7,2,6,NAN
1,3,10,15,8,1,-1,-1,NAN
-7,-5,-12,-43,-22,-11,-6,-5,NAN
-4,2,1,24,4,9,1,-4,NAN
1,1,11,13,-10,-8,-3,-1,NAN
0,0,9,10,9,6,0,2,NAN
3,3,-8,-2,-10,-7,-2,-1,NAN
-3,-3,-10,-22,-6,1,-1,-4,NAN
-1,-4,-6,-20,8,0,-3,1,NAN
-1,-1,6,-2,-2,-1,-1,-1,NAN
-1,-1,-5,6,0,-4,-3,-4,NAN
1,-1,-4,8,-6,-4,1,5,NAN
-2,-1,-12,5,6,36,4,0,NAN
0,-1,10,-10,-8,-44,-11,-3,NAN
1,0,1,-1,-3,10,5,1,NAN
-4,1,4,7,1,-10,-3,-5,NAN
-4,-3,-2,-10,-7,-22,-5,-4,NAN
0,-3,-1,-1,-4,10,1,0,NAN
2,-1,-1,0,-6,6,1,-1,NAN
-2,1,-3,2,2,-5,2,-3,NAN
-4,-2,-2,-12,0,-12,-3,-2,NAN
-1,-1,1,-1,1,6,0,-1,NAN
-2,-2,1,8,2,-7,1,-2,NAN
-1,-1,-3,-8,-3,3,0,-1,NAN
-2,-1,0,-6,-1,1,2,2,NAN
-3,0,2,9,2,1,-3,-2,NAN
-2,-1,3,4,2,-4,-1,-1,NAN
-1,-2,1,4,-4,-4,-1,-1,NAN
-1,0,6,1,-1,-4,-1,0,NAN
-1,-4,1,-4,-1,5,-1,0,NAN
3,-1,0,12,3,-2,-1,1,NAN
0,7,9,38,7,1,0,0,NAN
-8,-7,-20,-57,-9,-6,-2,-4,NAN
-1,2,-9,-12,0,3,-4,-3,NAN
-3,-5,-6,-26,-5,-4,-1,-1,NAN
-1,1,10,20,0,0,-1,0,NAN
3,3,10,38,10,-1,0,0,NAN
-2,-6,-3,-10,8,3,0,-2,NAN
1,1,2,16,-1,-2,-3,-1,NAN
2,-3,-1,-6,-2,-2,0,2,NAN
-2,-5,-4,4,8,0,1,0,NAN
-1,3,9,17,6,3,0,-1,NAN
-2,1,-4,-7,-12,-5,-3,-2,NAN
0,1,-2,0,0,-4,1,-2,NAN
-3,-1,-1,-4,0,0,-2,-1,NAN
2,-1,2,9,-1,0,-1,1,NAN
-3,1,2,-2,3,4,0,-1,NAN
-4,-1,-6,-9,-5,0,2,2,NAN
1,-2,-7,-1,1,18,2,0,NAN
2,1,-1,-7,2,5,-4,-1,NAN
-3,-2,-6,0,-5,-9,0,-3,NAN
-2,-4,0,11,4,-10,-3,0,NAN
-5,-3,-3,-11,-14,-37,-6,-3,NAN
0,-2,-9,-8,-1,23,1,-5,NAN
1,0,0,0,-1,-1,1,0,NAN
-2,2,-1,6,10,37,5,0,NAN
0,1,2,1,5,-1,-1,2,NAN
-3,-3,-5,-9,-4,-29,-8,-2,NAN
-2,-1,1,1,0,9,1,0,NAN
-5,1,11,4,1,8,0,0,NAN
0,3,3,0,1,-12,-3,1,NAN
0,0,4,33,4,-5,-1,-1,NAN
-5,-5,-10,-56,-13,-1,-2,-4,NAN
4,-2,-18,-42,-7,-7,-3,-3,NAN
-4,-4,-2,-9,-3,-8,-1,-2,NAN
-2,0,4,22,-3,-4,-1,-2,NAN
-6,-1,-6,-21,2,11,1,-1,NAN
3,0,-7,5,5,-5,-2,0,NAN
-2,-1,1,-6,0,-1,-2,-2,NAN
-1,1,1,-3,-5,-1,0,-3,NAN
2,0,-1,8,0,0,-1,1,NAN
4,0,-2,1,5,-2,0,2,NAN
-3,-4,2,3,-1,1,-1,0,NAN
-3,-3,-1,-1,1,-2,-1,-2,NAN
-1,0,1,3,-3,0,-1,0,NAN
-1,0,-3,-11,0,-3,-2,-2,NAN
-2,-1,0,-8,-3,4,-1,0,NAN
-6,-1,-1,4,-8,-10,-2,-2,NAN
