C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-1,-3,-3,-1,-3,-3,-8,NAN
11,-23,-4,-2,-1,-8,0,10,NAN
7,15,-9,-4,-2,0,-3,-1,NAN
-18,-3,0,-1,1,3,-1,-4,NAN
-4,7,1,0,-2,-3,-1,-5,NAN
-10,-14,-1,-4,-1,0,2,-8,NAN
12,-7,-7,-2,-3,-1,-2,-1,NAN
-11,-7,0,0,1,1,-1,1,NAN
-1,3,-5,-2,-1,3,-3,-2,NAN
5,14,4,-1,-1,-1,5,8,NAN
-18,-14,2,-1,-3,-5,-3,-4,NAN
26,24,-1,-2,-1,-1,-7,-2,NAN
-8,-21,-1,-1,-2,-6,-3,-2,NAN
-6,1,3,-1,-1,0,1,-7,NAN
12,8,0,-1,0,2,-2,9,NAN
-17,-8,-4,-3,-1,-3,-1,-8,NAN
14,1,5,1,0,-3,-6,3,NAN
-22,-12,-5,-2,0,2,4,-1,NAN
8,-1,-1,0,-2,-1,1,-10,NAN
8,-34,-10,-3,-3,-4,-3,3,NAN
1,42,8,0,-2,1,4,4,NAN
-3,35,3,2,1,2,-5,-10,NAN
-14,-19,3,0,1,5,-4,-1,NAN
22,-10,-4,-1,-1,-2,6,18,NAN
-3,13,2,2,-1,-7,-3,-6,NAN
-5,-26,-10,-3,0,3,-1,-2,NAN
8,66,11,0,-1,-2,-5,-8,NAN
-10,-11,-8,-2,-1,5,-3,-7,NAN
-6,-3,1,0,-2,-4,-2,-1,NAN
2,-29,-12,-1,-1,-2,1,9,NAN
-4,-24,-6,-4,-2,-4,-5,-9,NAN
-4,-29,5,-3,-2,-2,5,3,NAN
5,92,15,1,2,2,0,-1,NAN
-12,-40,-5,-1,0,3,5,2,NAN
15,-1,-10,-2,-3,-5,-3,-3,NAN
-12,17,12,5,0,2,-4,-6,NAN
-3,-39,-10,-1,-1,2,3,-4,NAN
-3,-11,-7,-3,-3,-3,-3,5,NAN
12,18,7,2,3,3,1,5,NAN
-8,-12,-13,-4,-2,0,-2,-6,NAN
-5,-15,-6,-3,-2,-1,-7,-1,NAN
3,-44,4,2,1,-3,2,-1,NAN
12,61,-3,-2,1,-1,2,4,NAN
-17,3,-1,0,-2,-1,-1,-5,NAN
15,-40,-7,-3,0,-2,-2,1,NAN
-33,21,3,-2,-1,2,-3,-8,NAN
27,7,10,0,-1,-11,3,7,NAN
0,-3,-1,-2,-4,-5,-2,-4,NAN
-8,9,-6,-3,-1,3,6,9,NAN
8,-19,-5,-3,0,1,-7,-3,NAN
-23,-22,-6,3,-1,2,-5,-13,NAN
15,26,13,0,0,1,5,12,NAN
14,-55,-16,-2,-1,-1,-1,5,NAN
-12,54,10,-2,-3,-4,-1,-8,NAN
-13,-45,-9,-1,-1,0,-3,0,NAN
2,18,1,0,2,1,0,-10,NAN
-19,3,0,1,-2,-3,1,4,NAN
15,-5,3,-1,-3,0,-3,5,NAN
-8,-12,-6,-4,0,-1,1,-3,NAN
7,-24,-11,0,1,-4,-5,-5,NAN
-4,20,8,0,-2,0,-1,-1,NAN
-12,9,10,3,0,-9,-4,-6,NAN
-14,-8,-8,-6,-2,-1,0,-6,NAN
12,-16,-11,-4,-2,-1,-2,-1,NAN
3,18,7,-1,-3,-7,-14,-8,NAN
7,-12,-4,0,-1,1,9,10,NAN
-2,-9,2,0,0,2,-1,0,NAN
-11,-8,-5,0,0,1,-2,-9,NAN
5,25,2,0,1,0,-7,-2,NAN
-13,-12,-7,-3,-4,-3,-3,-6,NAN
0,-12,7,3,1,1,2,-6,NAN
15,28,5,-2,-2,0,4,12,NAN
-24,-56,-20,-4,-2,-5,-3,-6,NAN
9,69,22,3,0,-1,-5,-4,NAN
7,-9,7,1,0,1,3,15,NAN
-22,-11,1,1,0,-1,-3,-11,NAN
0,-17,-7,-2,0,-3,-2,-4,NAN
11,35,-4,-3,-2,2,0,-3,NAN
-18,-18,-2,1,-2,-2,0,-11,NAN
15,28,5,1,1,-1,-1,17,NAN
1,-12,-5,-1,0,2,5,3,NAN
3,-55,-8,-2,-1,1,-2,-4,NAN
3,76,10,-1,0,1,0,1,NAN
-10,0,-8,-2,-4,-5,-5,-5,NAN
2,-18,-2,0,1,5,4,2,NAN
-8,5,-5,-2,-1,-4,0,5,NAN
24,-5,2,-2,-2,-3,-2,-2,NAN
-4,-16,-6,-1,-1,1,0,-6,NAN
2,53,7,-2,-1,1,6,16,NAN
3,-52,-12,-2,2,0,-1,-7,NAN
-16,22,-6,-2,-2,-3,-7,-3,NAN
-6,20,11,-2,1,-8,-8,-12,NAN
9,-15,0,0,1,2,3,-5,NAN
7,-4,-11,-5,-3,-1,-1,2,NAN
-10,-28,-6,-1,-1,2,-5,-6,NAN
-3,-13,-1,-2,0,1,0,1,NAN
-4,41,4,0,-2,6,0,-10,NAN
12,-30,-3,1,1,-10,1,14,NAN
-15,-3,-11,-5,-5,0,-6,-7,NAN
-1,33,10,1,-1,-7,2,-1,NAN
7,-26,2,1,0,1,-1,0,NAN
-11,2,-4,-2,-2,5,2,-6,NAN
12,-9,2,0,-1,-2,-6,1,NAN
-14,-15,-1,-1,-1,1,0,5,NAN
-5,-9,-7,-2,-2,-3,-5,1,NAN
17,18,10,2,1,-1,-1,-8,NAN
-21,-52,-8,-1,-2,-3,2,5,NAN
12,68,12,-1,1,8,0,3,NAN
-1,-21,5,-1,-1,-9,-3,-13,NAN
6,-18,-14,3,1,2,-2,8,NAN
-5,24,6,0,2,-1,3,-1,NAN
-4,-58,-15,-2,-2,1,-1,-6,NAN
-1,24,-6,-4,-2,3,4,4,NAN
-12,17,11,-3,0,-2,-6,-7,NAN
22,7,3,1,0,-2,-3,-6,NAN
10,33,8,0,-1,-3,0,1,NAN
-18,-18,-5,1,0,-7,-1,7,NAN
2,10,5,0,-1,2,-1,-8,NAN
0,-11,-7,-3,-2,-1,-3,-1,NAN
-5,-24,-5,-2,0,2,-2,-6,NAN
23,-25,-14,-2,-2,1,-2,-5,NAN
-31,1,2,1,0,-2,-2,-3,NAN
6,70,16,1,0,-2,3,8,NAN
-2,-22,-10,-2,-1,-1,-1,-2,NAN
2,-24,-7,-3,1,0,1,-1,NAN
12,3,-3,-1,0,0,4,8,NAN
-10,14,-8,-4,1,2,4,1,NAN
16,-13,-5,-1,-2,-3,2,13,NAN
-11,-9,-1,-3,-2,1,1,1,NAN
4,24,2,0,-1,-1,-5,-8,NAN
-16,-22,5,2,0,-1,0,0,NAN
13,24,-2,-3,-3,-2,-4,-8,NAN
1,-32,-5,-1,2,2,-1,-1,NAN
-2,-4,-1,-1,-3,2,2,1,NAN
-23,-16,-5,2,-2,-3,0,0,NAN
21,10,1,-1,-1,-6,-8,-1,NAN
-19,35,2,1,0,2,1,-4,NAN
16,-54,-11,-4,0,2,-1,7,NAN
3,19,-4,0,1,-1,1,3,NAN
-18,2,1,-2,-2,-4,2,-2,NAN
-3,3,7,1,-3,-6,-8,-13,NAN
-3,21,1,0,0,-5,-1,-3,NAN
6,-31,-2,-3,-2,0,1,-1,NAN
-1,-27,-7,-2,0,3,0,6,NAN
3,37,7,1,-2,-2,-2,-4,NAN
-6,-17,-3,-2,1,-1,1,0,NAN
27,-4,-3,-3,-3,-2,-3,-2,NAN
-32,-28,5,-1,-5,-3,-1,-8,NAN
1,10,-2,-1,-1,-4,-1,13,NAN
13,28,9,5,1,4,3,-3,NAN
10,-27,-15,-4,-4,-4,-3,6,NAN
-8,2,2,-1,-2,-2,0,-9,NAN
-1,-2,-7,-1,-2,0,-5,-1,NAN
-13,2,-7,-3,-1,1,-2,-3,NAN
-13,6,1,1,3,3,4,-2,NAN
17,-4,0,0,0,1,0,6,NAN
-6,-21,5,1,-2,-2,1,-2,NAN
-4,23,3,-2,-2,-5,-1,-2,NAN
-3,-31,-6,-1,-1,-3,0,-4,NAN
-4,-2,-8,-3,0,-1,-6,-2,NAN
-3,8,-2,1,1,2,2,0,NAN
-10,2,-6,-2,-3,-2,-3,-5,NAN
1,-7,5,0,0,-2,-1,4,NAN
5,17,4,0,0,0,-1,-2,NAN
3,-15,-4,0,1,-3,-3,-4,NAN
-9,-51,-6,-1,-2,-3,4,2,NAN
1,86,5,-1,-1,0,-3,-13,NAN
2,-29,-10,-1,2,1,0,7,NAN
2,5,-1,-5,-2,0,1,7,NAN
-3,-1,3,-2,0,-2,-3,-4,NAN
-5,-17,4,1,0,2,0,0,NAN
-18,-23,-6,0,-1,-1,-6,-12,NAN
23,53,1,-1,0,2,0,-2,NAN
1,2,0,0,1,0,-3,3,NAN
4,-23,-11,-4,-3,-2,0,2,NAN
-5,29,3,1,-2,-1,-3,-6,NAN
-20,-49,-7,-2,0,0,2,-2,NAN
7,44,8,2,-2,-3,-4,-2,NAN
