C1,C2,C3,C4,C5,C6,C7,C8,Marker
-8,-11,2,-4,-6,1,-9,40,NAN
-7,-9,-19,-9,-10,-19,0,-37,NAN
16,0,-1,-9,4,17,10,22,NAN
2,14,8,5,7,6,26,33,NAN
-5,-7,1,-10,-11,-8,-9,-23,NAN
-4,-13,1,-6,1,7,2,20,NAN
-10,0,3,4,7,-4,-4,-21,NAN
4,4,-6,-10,-5,-2,-7,-18,NAN
9,2,-6,-4,-4,-5,1,-8,NAN
-9,1,0,4,5,3,8,25,NAN
3,4,-17,-20,4,14,-9,8,NAN
-6,-5,5,-2,-3,6,-17,-57,NAN
-10,-7,-6,1,1,-3,13,-17,NAN
-12,2,-1,2,2,8,14,66,NAN
5,-1,13,13,7,5,0,-15,NAN
-5,17,-10,-15,-8,-14,-7,2,NAN
-4,1,4,1,2,1,4,-6,NAN
0,2,-6,-5,-3,1,-1,22,NAN
4,3,-2,-10,-2,3,-5,-7,NAN
-1,-4,-8,1,2,-8,-6,-16,NAN
-1,-2,-2,4,-1,0,8,39,NAN
6,-5,10,6,1,9,1,-4,NAN
3,-1,-6,0,2,-5,-21,-2,NAN
2,12,0,-9,-2,-7,17,-9,NAN
6,-1,2,-1,-1,11,13,15,NAN
-3,-4,-3,-5,1,5,-6,16,NAN
1,4,12,12,9,6,11,-6,NAN
-6,-1,-10,-10,-12,-19,-13,-7,NAN
1,-2,21,7,0,-4,-16,-16,NAN
6,-4,4,6,1,2,1,4,NAN
-10,-17,-11,-1,12,49,32,24,NAN
-5,-9,2,-4,-10,-52,14,29,NAN
-13,-6,8,14,9,17,21,8,NAN
-10,-2,-1,0,5,35,0,-42,NAN
6,13,15,-1,9,1,-9,48,NAN
15,-1,-15,-8,-24,-51,-50,-57,NAN
-2,4,-13,-5,13,52,12,18,NAN
-19,6,23,15,6,12,5,-64,NAN
3,-3,-17,-9,-8,-12,-10,-33,NAN
-14,-5,-5,2,-1,-27,-22,88,NAN
4,-1,-13,-9,-8,-1,-11,-91,NAN
12,0,29,4,9,10,-5,76,NAN
-6,2,-20,-12,-27,-57,-39,-50,NAN
